Karwijvarkenskervel,3
Kattendoorn,5
Kattenstaartamarant,3
Katwilg,8
Kaukasisch vergeet-mij-nietje,3
Kaukasische spar,4
Kaukasische zilverspar,4
Kegelsilene,3
Keizerskaars,6
Keizerskroon,6
Keker,3
Kernwier,2
Kerspruim,3
Kikkerbeet,3
Kiwi,3
Klaverbladvaren,3
Klavervreter,6
Kleefkruid,5
Klein blaasjeskruid,3
Klein bronkruid,4
Klein darmwier,1
Klein fakkelgras,3
Klein fonteinkruid,2
Klein glaskroos,3
Klein glaskruid,3
Klein glidkruid,3
Klein heksenkruid,3
Klein hoefblad,5
Klein kaasjeskruid,4
Klein kroos,3
Klein kruiskruid,4
Klein liefdegras,3
Klein nimfkruid,2
Klein robertskruid,3
Klein schorrenkruid,4
Klein slijkgras,3
Klein spiegelklokje,4
Klein springzaad,4
Klein sterrenkroos,2
Klein streepzaad,3
Klein tasjeskruid,3
Klein timoteegras,2
Klein vlooienkruid,3
Klein vogelpootje,4
Klein warkruid,3
Klein wintergroen,3
Klein zeegras,3
Kleinbloemig kaasjeskruid,2
Kleinbloemige amsinckia,3
Kleinbloemige salie,4
Kleine bergsteentijm,6
Kleine bevernel,5
Kleine biesvaren,5
Kleine brandnetel,4
Kleine duizendknoop,4
Kleine egelskop,4
Kleine ereprijs,4
Kleine hardbloem,3
Kleine honingklaver,3
Kleine kaardebol,4
Kleine kattenstaart,4
Kleine keverorchis,5
Kleine klaver,5
Kleine knotszegge,3
Kleine kroosvaren,1
Kleine leeuwenbek,3
Kleine leeuwenklauw,3
Kleine leeuwentand,3
Kleine lisdodde,3
Kleine maagdenpalm,5
Kleine majer,3
Kleine margriet,1
Kleine ooievaarsbek,3
Kleine pimpernel,2
Kleine ratelaar,3
Kleine ruit,2
Kleine rupsklaver,4
Kleine schorseneer,4
Kleine sneeuwroem,3
Kleine steentijm,3
Kleine valeriaan,5
Kleine varkenskers,4
Kleine veenbes,4
Kleine veldkers,4
Kleine vlotvaren,2
Kleine watereppe,4
Kleine waterteunisbloem,1
Kleine wolfsklauw,2
Kleine wolfsmelk,4
Kleine zandkool,3
Kleine zee-eik,2
Kleine zonnedauw,6
Kleinste egelskop,4
Kleinste lisdodde,1
Kleurige wolfsmelk,4
Kleverig kruiskruid,3
Kleverige alant,2
Kleverige nachtschade,2
Kleverige ogentroost,3
Kleverige reigersbek,3
Klimop,6
Klimopbremraap,6
Klimopereprijs,5
Klimopklokje,4
Klimopwaterranonkel,4
Klokjesgentiaan,4
Kluwenhoornbloem,5
Kluwenklokje,4
Kluwenzuring,5
Knikbloem,4
Knikkend nagelkruid,5
Knikkend parelgras,5
Knikkend tandzaad,4
Knikkende distel,3
Knikkende vogelmelk,4
Knobbelklaverzuring,2
Knolbeemdgras,5
Knolboterbloem,4
Knolcyperus,4
Knolglanshaver,2
Knollathyrus,5
Knolribzaad,4
Knolrus,3
Knolspirea,5
Knolsteenbreek,4
Knolvossenstaart,5
Knoopkruid,4
Knoopwier,2
Knopbies,3
Knopherik,3
Knopig doornzaad,4
Knopig helmkruid,3
Knopkroos,2
Knotswier,3
Knotszegge,4
Koekruid,3
Kogelbies,5
Kogelduizendknoop,1
Komijn,2
Komkommer,3
Kompassla,4
Koninginnekruid,6
Koningskaars,6
Koningsvaren,3
Kool,9
Kooltje vuur,3
Koolzaad,4
Koprus,4
Koraalwortel,4
Korenbloem,3
Korenschijnspurrie,2
Korensla,4
Koriander,5
Korrelganzenvoet,5
Kortarige zeekraal,4
Kraaihei,4
Kraailook,4
Kraakwilg,4
Krabbenscheer,5
Kransgras,5
Kranskarwij,5
Kransmunt,3
Kransmuur,4
Kransnaaldaar,4
Kransnemesia,1
Kranssalie,4
Kranssalomonszegel,4
Kransvederkruid,3
Kromhals,3
Kroontjeskruid,4
Kropaar,5
Kruidvlier,4
Kruipbrem,3
Kruipend moerasscherm,7
Kruipend stalkruid,4
Kruipend zenegroen,6
Kruipende basterdwederik,1
Kruipende boterbloem,3
Kruipende moerasweegbree,3
Kruipertje,5
Kruipganzerik,3
Kruipkattenstraat,3
Kruipklokje,3
Kruiptijm,2
Kruipwilg,4
Kruisbes,4
Kruisbladgentiaan,4
Kruisbladige wolfsmelk,4
Kruisbladwalstro,4
Kruismuur,2
Kruldistel,4
Krulzuring,10
Kuifhyacint,5
Kuifvleugeltjesbloem,3
Kustmelde,6
Kwastwier,1
Kweek,5
Kweekdravik,2
Kwelderzegge,5
Kwispelgerst,3
Laksteeltje,5
Lamiastrum,2
Lamsoor,4
Lancetbladige basterdwederik,2
Langarige zeekraal,4
Langbladige druifhyacint,3
Lange ereprijs,4
Lange zonnedauw,4
Langstekelige distel,4
Langstelige olijfwilg,3
Langstengelig fonteinkruid,3
Lansvaren,3
Late guldenroede,2
Late stekelnoot,4
Lathyruswikke,5
Laurierkers,3
Laurierwilg,4
Lavas,5
Lavendelhei,4
Leathesia,1
Lelietje-van-dalen,3
Lenteklokje,4
Lidrus,5
Lidsteng,5
Liesgras,4
Lievevrouwebedstro,4
Liggend bergvlas,6
Liggend hertshooi,3
Liggend walstro,2
Liggende asperge,3
Liggende ereprijs,7
Liggende ganzenvoet,4
Liggende ganzerik,4
Liggende klaver,5
Liggende leeuwenbek,1
Liggende majer,2
Liggende raket,4
Liggende vetmuur,3
Liggende vleugeltjesbloem,4
Linnaeusklokje,4
Lintvaren,3
Linze,2
Lomentaria,1
Look-zonder-look,4
Loos blaasjeskruid,5
Luzerne,4
Luzula,3
Maarts viooltje,4
Maasraket,4
Madeliefje,5
Mahonie,3
Malrove,3
Mannagras,4
Mannetjesereprijs,3
Mannetjesorchis,4
Mannetjesvaren,4
Mansbloed,3
Maretak,6
Mariadistel,3
Mariëtteklokje,2
Marjoleinbekje,2
Mattenbies,4
Maïs,5
Meekrap,4
Meelbes,4
Melganzenvoet,6
Melige toorts,6
Melkeppe,4
Melkkruid,3
Melkviooltje,6
Meloen,3
Middelste ganzerik,3
Middelste teunisbloem,5
Mierikswortel,3
Mispel,4
Moederkruid,3
Moerasandijvie,3
Moerasandoorn,3
Moerasbasterdwederik,3
Moerasbeemdgras,4
Moerasdroogbloem,3
Moeraseik,2
Moerasgamander,6
Moerashertshooi,4
Moerashyacint,5
Moeraskartelblad,3
Moeraskers,4
Moeraskruiskruid,3
Moeraslantaarn,2
Moeraslathyrus,3
Moerasmelkdistel,4
Moerasmuur,3
Moerasrolklaver,3
Moerassmele,5
Moerasspirea,4
Moerasstreepzaad,2
Moerasstruisgras,2
Moerasvaren,3
Moerasvergeet-mij-nietje,2
Moerasviooltje,3
Moeraswalstro,4
Moeraswederik,3
Moeraswespenorchis,5
Moeraswolfsklauw,4
Moeraswolfsmelk,3
Moeraszegge,4
Moeraszoutgras,5
Moeraszuring,5
Moesdistel,4
Moeslook,3
Moespimpernel,1
Mosbloempje,3
Moseik,5
Mottenkruid,6
Muizenoor,7
Muizenstaart,3
Muskuskaasjeskruid,3
Muskuskruid,4
Muskusplantje,3
Muurbloem,5
Muurbloemmosterd,3
Muurfijnstraal,3
Muurganzenvoet,4
Muurhavikskruid,3
Muurleeuwenbek,4
Muurpeper,4
Muursla,3
Muurvaren,3
Muurzeepkruid,2
Myosotis,3
Naakte lathyrus,4
Naaldenkervel,5
Naaldwaterbies,4
Nachtkoekoeksbloem,4
Nachtsilene,5
Nerfamarant,4
Nieuw-Nederlandse aster,2
Noords walstro,3
Noordse aalbes,3
Noordse helm,5
Noordse rus,4
Noordse streepvaren,4
Noordse zegge,4
Noorse esdoorn,5
Noorse ganzerik,3
Odontites,3
Oenothera,3
Oeveramarant,1
Oeverkruid,3
Oeverwarkruid,2
Oeverzegge,5
Okkernoot,7
Omgebogen vetkruid,2
Onderaardse klaver,4
Ondergedoken moerasscherm,4
Ongelijkbladig fonteinkruid,6
Ongelijkbladig vederkruid,1
Ongevlekt longkruid,2
Ononis,3
Ontariopopulier,4
Oorsilene,4
Oostelijk kruiskruid,3
Oostelijke hemlockspar,4
Oostenrijkse den,3
Oostenrijkse kers,3
Oosterse anemoon,2
Oosterse karmozijnbes,3
Oosterse morgenster,3
Oosterse plataan,4
Oosterse raket,4
Oosterse ridderspoor,1
Oosterse sterhyacint,4
Oosterse wingerd,2
Oot,5
Oranje havikskruid,6
Oranje springzaad,3
Ornithogalum,2
Overblijvende hardbloem,4
Overblijvende ossentong,2
Paarbladig fonteinkruid,4
Paarbladig goudveil,4
Paardenbloemstreepzaad,4
Paardengras,3
Paardenhoefklaver,3
Paardenzuring,10
Paarse dovenetel,3
Paarse morgenster,4
Paddenrus,4
Palmboompje,4
